UID          PID    PPID  C STIME TTY          TIME CMD
root         548       1  0 19:08 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         550       1  0 19:08 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         551       1  0 19:08 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       553       1  0 19:08 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         554       1  0 19:08 ?        00:00:00 /usr/lib/snapd/snapd
root         560       1  0 19:08 ?        00:00:00 /usr/libexec/switcheroo-control
root         569       1  0 19:08 ?        00:00:00 /lib/systemd/systemd-logind
root         570       1  0 19:08 ?        00:00:00 /usr/lib/udisks2/udisksd
root         572       1  0 19:08 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        585     535  0 19:08 ?        00:00:00 avahi-daemon: chroot helper
root         629       1  0 19:08 ?        00:00:00 /usr/sbin/cups-browsed
root         631       1  0 19:08 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
root         651       1  0 19:08 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         668       1  0 19:08 ?        00:00:00 /usr/sbin/gdm3
root         679     668  0 19:08 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
whoopsie     714       1  0 19:08 ?        00:00:00 /usr/bin/whoopsie -f
kernoops     718       1  0 19:08 ?        00:00:00 /usr/sbin/kerneloops --test
nathani+     724       1  0 19:08 ?        00:00:00 /lib/systemd/systemd --user
nathani+     725     724  0 19:08 ?        00:00:00 (sd-pam)
kernoops     726       1  0 19:08 ?        00:00:00 /usr/sbin/kerneloops
nathani+     755     724  0 19:08 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
nathani+     757     724  0 19:08 ?        00:00:00 /usr/libexec/tracker-miner-fs
nathani+     765       1  0 19:08 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
nathani+     769     679  0 19:08 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
nathani+     771     769  0 19:08 tty2     00:00:02 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
nathani+     776     724  0 19:08 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit        777       1  0 19:08 ?        00:00:00 /usr/libexec/rtkit-daemon
nathani+     781     724  0 19:08 ?        00:00:00 /usr/libexec/gvfsd
nathani+     787     724  0 19:08 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
nathani+     795     724  0 19:08 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
nathani+     811     724  0 19:08 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
nathani+     815     724  0 19:08 ?        00:00:00 /usr/libexec/goa-daemon
nathani+     840     724  0 19:08 ?        00:00:00 /usr/libexec/goa-identity-service
nathani+     845     724  0 19:08 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
nathani+     849     724  0 19:08 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
nathani+     855     724  0 19:08 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root         859       1  0 19:08 ?        00:00:00 /usr/lib/upower/upowerd
nathani+     864     769  0 19:08 tty2     00:00:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
nathani+     947     864  0 19:08 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
nathani+     974     724  0 19:08 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
nathani+     979     974  0 19:08 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
nathani+    1040     724  0 19:08 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
nathani+    1064     724  0 19:08 ?        00:00:00 /usr/libexec/dconf-service
nathani+    1071     724  0 19:08 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
nathani+    1087     724  1 19:08 ?        00:00:10 /usr/bin/gnome-shell
nathani+    1115    1087  0 19:08 ?        00:00:00 ibus-daemon --panel disable --xim
nathani+    1121    1115  0 19:08 ?        00:00:00 /usr/libexec/ibus-dconf
nathani+    1123    1115  0 19:08 ?        00:00:00 /usr/libexec/ibus-extension-gtk3
